Epoca,Loss_Entropia_Cruzada
1,0.6931471805599453
2,0.6766470716917304
3,0.6562578097933222
4,0.6445450672808795
5,0.645309872293874
6,0.6534759021754966
7,0.6609893017886155
8,0.6622713127367424
9,0.6563649520177077
10,0.6463540517927158
11,0.637160068034177
12,0.6326268762010852
13,0.6332486283934319
14,0.6361122819861526
15,0.6372479121584642
16,0.6345076614013972
17,0.6287309660319572
18,0.6226077173236523
19,0.6184917713512404
20,0.6169370912355683
21,0.616783763584755
22,0.6162937037355877
23,0.6143146834848293
24,0.6108103848260169
25,0.6066587776636231
26,0.6029830956445917
27,0.600440068511623
28,0.5988793981272069
29,0.5975573422304565
30,0.5957119240766133
31,0.5930649824240194
32,0.5899166576223143
33,0.5868378590383911
34,0.5842469866356668
35,0.5821767964718064
36,0.5803379895147751
37,0.5783668514029295
38,0.5760612672569153
39,0.5734694183834882
40,0.5708127115668556
41,0.5683199363251308
42,0.566085387056028
43,0.5640331444415617
44,0.561994120167819
45,0.5598296942352345
46,0.5575143945781506
47,0.5551307749853477
48,0.5527960469109569
49,0.5505812992258885
50,0.5484764084531467
51,0.5464128796438584
52,0.5443178228894563
53,0.542159411028752
54,0.53995824069166
55,0.5377646938202263
56,0.5356224328797713
57,0.533542681924637
58,0.5315031606017195
59,0.5294680531378098
60,0.5274128289939143
61,0.5253374055930256
62,0.5232614878782754
63,0.5212084210045485
64,0.5191899538274869
65,0.5172012360520503
66,0.5152270554874261
67,0.5132531775644326
68,0.5112748280620545
69,0.5092977415017371
70,0.5073326027253342
71,0.5053875264791629
72,0.5034635252577356
73,0.5015551828466431
74,0.4996551569353175
75,0.4977590228153075
76,0.4958673997486703
77,0.4939845612390138
78,0.492115066166555
79,0.4902608736755516
80,0.48842061724479985
81,0.48659105183774876
82,0.4847693594108074
83,0.482954742531057
84,0.4811484811246495
85,0.479352718194268
86,0.47756895523609433
87,0.4757972245997327
88,0.4740363119624872
89,0.47228469407957646
90,0.4705414852968679
91,0.4688068153658478
92,0.46708151840100104
93,0.4653664556036226
94,0.4636619539639334
95,0.46196767775426706
96,0.460282925082734
97,0.4586070870110805
98,0.45693996111629154
99,0.4552817597131994
100,0.4536328674016275
101,0.4519935420569481
102,0.4503637495341936
103,0.44874320544227503
104,0.4471315590720887
105,0.4455285818460368
106,0.4439342465454787
107,0.4423486710966155
108,0.440771986900069
109,0.43920422505484796
110,0.4376452847769127
111,0.43609498664060786
112,0.43455316229233215
113,0.43301972017882295
114,0.43149465298675954
115,0.42997799377639784
116,0.428469756799378
117,0.42696990102155286
118,0.42547833353654474
119,0.42399494313618197
120,0.42251963838600554
121,0.42105236688991654
122,0.4195931080663732
123,0.4181418488567331
124,0.41669855997218785
125,0.41526318650101945
126,0.41383565554600155
127,0.41241589305652215
128,0.4110038381878181
129,0.40959944727037445
130,0.40820268710404406
131,0.4068135235805702
132,0.40543191318689586
133,0.4040578017864134
134,0.40269112998073403
135,0.4013318406652673
136,0.3999798839746697
137,0.39863521726609036
138,0.3972978011202807
139,0.39596759444815893
140,0.39464455169667056
141,0.39332862334462504
142,0.39201975874782147
143,0.3907179092270042
144,0.38942302957033764
145,0.3881350773961552
146,0.3868540111615984
147,0.38557978822661754
148,0.3843123640753204
149,0.3830516929185213
150,0.3817977290678334
151,0.38055042815009504
152,0.3793097475035126
153,0.3780756456906079
154,0.3768480815763591
155,0.37562701357713263
156,0.37441239946885724
157,0.3732041967491693
158,0.3720023632361673
159,0.37080685751610903
160,0.3696176390152246
161,0.3684346677282413
162,0.3672579038241244
163,0.366087307375859
164,0.3649228383431343
165,0.3637644567694925
166,0.36261212304258283
167,0.36146579806015244
168,0.36032544322748605
169,0.35919102032011363
170,0.35806249131348267
171,0.3569398182791918
172,0.3558229633904676
173,0.35471188901043876
174,0.3536065577962356
175,0.3525069327567331
176,0.3514129772401016
177,0.35032465487124526
178,0.34924192948324506
179,0.34816476508174726
180,0.347093125855494
181,0.3460269762181801
182,0.344966280852396
183,0.343911004730841
184,0.34286111310710693
185,0.34181657148627
186,0.34077734559434597
187,0.3397434013623828
188,0.3387147049298094
189,0.33769122266027835
190,0.33667292115786746
191,0.3356597672738302
192,0.33465172810130217
193,0.333648770962541
194,0.3326508633965265
195,0.3316579731530824
196,0.3306700681949669
197,0.3296871167047895
198,0.3287090870915795
199,0.3277359479929709
200,0.32676766827203313
201,0.325804217010756
202,0.3248455635035278
203,0.32389167725324153
204,0.32294252797072426
205,0.321998085576283
206,0.3210583202013031
207,0.320123202188261
208,0.3191927020887316
209,0.31826679066016667
210,0.3173454388627603
211,0.31642861785743714
212,0.3155162990052144
213,0.31460845386740965
214,0.31370505420581124
215,0.31280607198209653
216,0.3119114793562941
217,0.31102124868459824
218,0.31013535251710506
219,0.3092537635959476
220,0.3083764548540033
221,0.3075033994140165
222,0.30663457058780474
223,0.3057699418752559
224,0.3049094869630116
225,0.30405317972293333
226,0.30320099421055857
227,0.30235290466373177
228,0.30150888550147514
229,0.3006689113230263
230,0.2998329569069027
231,0.299000997209852
232,0.29817300736563496
233,0.2973489626836705
234,0.2965288386476342
235,0.29571261091410256
236,0.2949002553112938
237,0.29409174783789677
238,0.29328706466194426
239,0.2924861821196791
240,0.2916890767143823
241,0.29089572511517076
242,0.2901061041557893
243,0.28932019083343125
244,0.2885379623076025
245,0.28775939589902455
246,0.2869844690885545
247,0.2862131595160958
248,0.28544544497948443
249,0.284681303433348
250,0.2839207129879519
251,0.28316365190804776
252,0.28241009861173816
253,0.2816600316693642
254,0.2809134298024093
255,0.2801702718824154
256,0.27943053692990194
257,0.27869420411328827
258,0.27796125274781863
259,0.27723166229449747
260,0.27650541235903564
261,0.27578248269081046
262,0.2750628531818342
263,0.2743465038657289
264,0.27363341491670146
265,0.27292356664851813
266,0.2722169395134796
267,0.27151351410139746
268,0.2708132711385778
269,0.2701161914868115
270,0.2694222561423745
271,0.2687314462350361
272,0.2680437430270743
273,0.2673591279122991
274,0.26667758241508127
275,0.2659990881893889
276,0.26532362701783047
277,0.2646511808107066
278,0.2639817316050676
279,0.26331526156377877
280,0.2626517529745898
281,0.26199118824921014
282,0.2613335499223878
283,0.2606788206509936
284,0.2600269832131102
285,0.2593780205071267
286,0.2587319155508407
287,0.25808865148056515
288,0.2574482115502435
289,0.25681057913057037
290,0.25617573770811936
291,0.2555436708844766
292,0.25491436237538134
293,0.25428779600987234
294,0.2536639557294412
295,0.2530428255871909
296,0.252424389747001
297,0.251808632482698
298,0.2511955381772316
299,0.25058509132185547
300,0.24997727651531462
301,0.24937207846303708
302,0.2487694819763321
303,0.24816947197159372
304,0.24757203346951
305,0.24697715159427824
306,0.24638481157282632
307,0.24579499873403934
308,0.24520769850799246
309,0.2446228964251893
310,0.24404057811580634
311,0.2434607293089424
312,0.24288333583187396
313,0.24230838360931642
314,0.24173585866268965
315,0.2411657471093899
316,0.24059803516206638
317,0.2400327091279032
318,0.23946975540790652
319,0.2389091604961971
320,0.23835091097930786
321,0.23779499353548678
322,0.2372413949340053
323,0.23669010203447127
324,0.23614110178614822
325,0.23559438122727863
326,0.2350499274844134
327,0.23450772777174553
328,0.23396776939044975
329,0.2334300397280264
330,0.23289452625765086
331,0.23236121653752762
332,0.231830098210249
333,0.23130115900215964
334,0.23077438672272454
335,0.23024976926390284
336,0.22972729459952596
337,0.22920695078468056
338,0.2286887259550963
339,0.228172608326538
340,0.22765858619420315
341,0.22714664793212322
342,0.22663678199257029
343,0.22612897690546802
344,0.22562322127780718
345,0.2251195037930656
346,0.22461781321063318
347,0.22411813836524025
348,0.22362046816639183
349,0.223124791597805
350,0.22263109771685125
351,0.22213937565400305
352,0.22164961461228486
353,0.22116180386672785
354,0.2206759327638298
355,0.22019199072101805
356,0.21970996722611794
357,0.21922985183682414
358,0.21875163418017707
359,0.21827530395204275
360,0.21780085091659768
361,0.21732826490581625
362,0.21685753581896383
363,0.21638865362209264
364,0.2159216083475422
365,0.2154563900934434
366,0.2149929890232267
367,0.21453139536513413
368,0.21407159941173493
369,0.21361359151944526
370,0.21315736210805153
371,0.2127029016602378
372,0.21225020072111617
373,0.21179924989776175
374,0.2113500398587507
375,0.21090256133370228
376,0.21045680511282422
377,0.2100127620464618
378,0.2095704230446507
379,0.20912977907667296
380,0.20869082117061707
381,0.2082535404129408
382,0.20781792794803794
383,0.2073839749778087
384,0.20695167276123283
385,0.2065210126139468
386,0.20609198590782385
387,0.20566458407055763
388,0.20523879858524896
389,0.20481462098999612
390,0.2043920428774883
391,0.20397105589460182
392,0.2035516517420004
393,0.20313382217373788
394,0.20271755899686436
395,0.2023028540710356
396,0.20188969930812525
397,0.20147808667184042
398,0.20106800817734014
399,0.20065945589085665
400,0.2002524219293204
401,0.19984689845998718
402,0.19944287770006863
403,0.19904035191636588
404,0.1986393134249057
405,0.19823975459057958
406,0.1978416678267861
407,0.1974450455950756
408,0.19704988040479804
409,0.1966561648127534
410,0.19626389142284506
411,0.19587305288573592
412,0.19548364189850712
413,0.19509565120431938
414,0.19470907359207743
415,0.19432390189609686
416,0.1939401289957732
417,0.19355774781525467
418,0.19317675132311626
419,0.19279713253203748
420,0.19241888449848207
421,0.1920420003223802
422,0.19166647314681384
423,0.19129229615770355
424,0.19091946258349898
425,0.19054796569487076
426,0.1901777988044054
427,0.18980895526630273
428,0.18944142847607515
429,0.18907521187024978
430,0.18871029892607286
431,0.18834668316121628
432,0.1879843581334865
433,0.18762331744053626
434,0.1872635547195776
435,0.1869050636470981
436,0.18654783793857885
437,0.18619187134821485
438,0.18583715766863723
439,0.18548369073063847
440,0.18513146440289882
441,0.18478047259171568
442,0.18443070924073443
443,0.18408216833068228
444,0.18373484387910308
445,0.18338872994009522
446,0.18304382060405103
447,0.1827001099973985
448,0.18235759228234466
449,0.1820162616566217
450,0.1816761123532342
451,0.18133713864020892
452,0.1809993348203466
453,0.1806626952309754
454,0.18032721424370615
455,0.17999288626419035
456,0.17965970573187898
457,0.17932766711978393
458,0.17899676493424121
459,0.1786669937146756
460,0.1783383480333677
461,0.17801082249522254
462,0.17768441173753988
463,0.1773591104297864
464,0.17703491327337
465,0.17671181500141514
466,0.17638981037854093
467,0.17606889420063976
468,0.17574906129465884
469,0.1754303065183826
470,0.1751126247602171
471,0.17479601093897634
472,0.17448046000366965
473,0.17416596693329137
474,0.17385252673661178
475,0.17354013445196986
476,0.17322878514706727
477,0.17291847391876466
478,0.17260919589287885
479,0.17230094622398187
480,0.1719937200952017
481,0.17168751271802427
482,0.17138231933209722
483,0.1710781352050351
484,0.17077495563222608
485,0.1704727759366401
486,0.1701715914686386
