Epoca,Loss_Entropia_Cruzada
1,0.6931471805599453
2,0.5554913607326267
3,0.41868662665408884
4,0.36693194208123353
5,0.3797422016835124
6,0.41605878346531455
7,0.45262257182816
8,0.4799474796794536
9,0.49498941983190137
10,0.4974728292962368
11,0.48842117715402544
12,0.46967151072601565
13,0.4438595331070118
14,0.41467692596897476
15,0.3872188468600022
16,0.36792119481457614
17,0.3629434187729194
18,0.37392607973665254
19,0.39342635993511865
20,0.4071907380656923
21,0.4052349370563583
22,0.3901466671886202
23,0.3728052766418601
24,0.36207975716077034
25,0.360005003228997
26,0.36383672741435374
27,0.36966134257855005
28,0.3744222130218265
29,0.37643992401175613
30,0.3752779819962773
31,0.37145711090004596
32,0.3661653688546504
33,0.36094097856711566
34,0.357261574651654
35,0.3560350580654998
36,0.35715398461180514
37,0.3594421505833807
38,0.361227144756666
39,0.36129662217116854
40,0.3595567831602614
41,0.356902004167484
42,0.3544967725845663
43,0.3530924530113642
44,0.3527886676461869
45,0.35320012159587555
46,0.3537719528854873
47,0.354040805403927
48,0.35377061072035154
49,0.3529745566761663
50,0.35185840039167665
51,0.3507181310116613
52,0.34982209094043143
53,0.3493109657084765
54,0.3491511633967155
55,0.3491644235242628
56,0.3491233361779754
57,0.34886423873960476
58,0.3483560078604007
59,0.3476915771516813
60,0.3470187685752565
61,0.3464593797733923
62,0.34606038619203633
63,0.34579173191568957
64,0.34557778744279366
65,0.3453389089140993
66,0.34502372467282577
67,0.3446228687005626
68,0.34416407101419155
69,0.3436944183869938
70,0.343258348766446
71,0.3428800398277476
72,0.34255644622865944
73,0.3422626849194878
74,0.3419661485847311
75,0.3416420284699933
76,0.34128291252930054
77,0.34089886095056937
78,0.340509558054506
79,0.34013371161614053
80,0.33978112003125693
81,0.3394503443501725
82,0.3391316819499137
83,0.33881292696250936
84,0.33848489646435803
85,0.3381445589050473
86,0.3377950508882398
87,0.3374432117890689
88,0.33709608027944404
89,0.3367579336332634
90,0.33642897944495953
91,0.3361059742724446
92,0.3357842014255005
93,0.33545974071761653
94,0.33513099575106525
95,0.33479893865981725
96,0.33446619742470257
97,0.3341356048996635
98,0.3338089470704241
99,0.3334864096980743
100,0.3331668144811552
101,0.3328483800366908
102,0.3325295807793165
103,0.3322097284057989
104,0.3318890930522968
105,0.33156860514725695
106,0.3312493405857024
107,0.3309320415385565
108,0.33061686470592927
109,0.3303034209852006
110,0.32999103778612254
111,0.32967909327019906
112,0.32936726754112877
113,0.3290556189289351
114,0.3287444853824217
115,0.32843428618696796
116,0.3281253276159181
117,0.3278176941969771
118,0.32751125466068226
119,0.3272057573675926
120,0.32690095753075143
121,0.32659671685983527
122,0.3262930395264708
123,0.3259900418208568
124,0.32568788081303257
125,0.3253866794777772
126,0.32508648016646935
127,0.3247872405809982
128,0.3244888660311873
129,0.32419125768144846
130,0.3238943535047406
131,0.32359814605630266
132,0.32330267394690004
133,0.32300799560552107
134,0.32271415976873086
135,0.32242118573843265
136,0.32212905980944256
137,0.32183774622884836
138,0.3215472052783837
139,0.3212574095367732
140,0.3209683518769733
141,0.3206800434457598
142,0.3203925043842776
143,0.3201057525461655
144,0.31981979530681687
145,0.3195346273051028
146,0.31925023394526575
147,0.3189665981094727
148,0.31868370666633955
149,0.3184015540894522
150,0.3181201422191691
151,0.3178394770014553
152,0.31755956414555897
153,0.3172804057233221
154,0.3170019989498158
155,0.31672433723354687
156,0.3164474126187759
157,0.31617121833036343
158,0.3158957503374014
159,0.3156210074699389
160,0.31534699031632585
161,0.31507369959423986
162,0.31480113477632177
