Parametro,Valor
w_escala_1,9.424959473217982
w_escala_2,-3.5290816729330525
w_escala_3,-1.4121454914275975
w_escala_4,-1.9023593355084452
w_escala_5,-1.8742040689994464
bias,-0.8323619148154975
